panel_order,panel_label,panel_col,panel_row,section,force_pair,group,n_subjects,mean_pct,sd_pct,sem_pct,median_pct,q1_pct,q3_pct,iqr_pct,whisker_lo_pct,whisker_hi_pct,min_pct,max_pct,statistical_test,contrast,p_value,significance,subject_id,accuracy_pct,mean_same_trial_pct,mean_diff_trial_pct,same_trial_accuracy_pct,diff_trial_accuracy_pct,n_trials
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P42,8.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P42,66.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P44,100.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P44,25.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P44,100.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P45,100.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P45,41.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P45,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P46,66.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P46,25.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P46,75.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P47,75.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P47,50.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P47,75.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P48,91.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P48,33.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P48,66.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P49,91.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P49,16.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P49,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P50,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P50,25.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P50,91.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P51,75.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P51,58.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P51,83.333300,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P52,75.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P52,25.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P52,91.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P53,66.666700,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,15–26,all pairs,,,,,,,,,,,,,,,,,P53,25.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,26–60,all pairs,,,,,,,,,,,,,,,,,P53,75.000000,,,,,
"(1,2)","(1,2) 2AFC — High band",1,2,subject_data,10–26,all pairs,,,,,,,,,,,,,,,,,P54,91.666700,,,,,
